id;name;author_name;inventory_status;original_price;discount;price;discount_rate;rating_average;review_count;quantity_sold;type_book;book_cover
193555604;Bài Tập Ngữ Văn 11/1 (2022);nhieu tac gia;available;9000;0;9000;0;0.0;0;;sach_giaokhoa;
194819092;Lịch Sử Và Địa Lí 6 (Chân Trời Sáng Tạo) (2022);nhieu tac gia;available;32000;0;32000;0;0.0;0;;sach_giaokhoa;
194819042;Bài Tập Ngữ Văn 6/2 (Chân Trời Sáng Tạo) (2022);nhieu tac gia;available;12000;0;12000;0;0.0;0;;sach_giaokhoa;
193555817;Địa Lí 9 (2022);Bộ Giáo Dục Và Đào Tạo;available;13000;0;13000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;
193555509;Vở Thực Hành Hoạt Động Trải Nghiệm 2 (Cánh Diều) (2022);nhieu tac gia;available;15000;0;15000;0;0.0;0;;sach_giaokhoa;
190827146;Sách - Vở Bài Tập Thực Hành Mĩ Thuật Lớp 3; Nguyễn Hữu Hạnh;available;45000;11250;33750;25;0.0;0;;sach_giaokhoa;
193395342;DSP - Xử Lý Tín Hiệu Số;;available;168000;0;168000;0;0.0;0;;sach_giaokhoa;Bìa mềm
171586329;So Sánh Luật Doanh Nghiệp Năm 2020 Với Luật Doanh Nghiệp Năm 2014;;available;132000;17160;114840;13;0.0;0;;sach_giaokhoa;
193555559;VBT Tiếng Việt 1/2 (Cánh Diều) (2022);nhieu tac gia;available;10000;0;10000;0;0.0;0;;sach_giaokhoa;
194451749;Hoạt Động Trải Nghiệm, Hướng Nghiệp 7 (Kết Nối) (2022);nhieu tac gia;available;10000;0;10000;0;0.0;0;;sach_giaokhoa;
193640151;Bài Tập Toán 6/2 (Kết Nối) (2022);nhieu tac gia;available;20000;0;20000;0;0.0;0;;sach_giaokhoa;
183539023;Bài Tập Tự Nhiên Và Xã Hội 2 Cơ Bản Và Nâng Cao;;available;40000;0;40000;0;0.0;0;;sach_giaokhoa;
178771386;55 Bộ Đề Tiếng Việt 2;;available;70000;7000;63000;10;0.0;0;;sach_giaokhoa;
193555503;Bài Tập Vật Lí Lớp 9; Nguyễn Văn Hòa;available;10000;0;10000;0;0.0;0;;sach_giaokhoa;
194086322;Âm Nhạc 4 (2022);Bộ Giáo Dục Và Đào Tạo;available;4000;0;4000;0;0.0;0;;sach_giaokhoa;
194568526;Bài Tập Lịch Sử 11 (2022);nhieu tac gia;available;13000;0;13000;0;5.0;1;;sach_giaokhoa;
194451777;VBT Âm Nhạc 3 (Chân Trời Sáng Tạo) (2022);nhieu tac gia;available;11000;0;11000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;
164259135;Học Và Hành Toán 1 - Tập 2 ( Đỗ Trung Hiệu, Đỗ Trung kiên) ;PGS TS Đỗ Trung Hiệu;available;38000;9500;28500;25;0.0;0;;sach_giaokhoa;Bìa mềm
111357140;Vector: Sách hệ Singapore - Học toán bằng tiếng Anh - Let's Start! Maths 3 Student's Book;;available;365000;0;365000;0;0.0;0;;sach_giaokhoa;Bìa mềm
171585906;Tổng Quan Về Luật Hình Sự Việt Nam;PGS TS Trịnh Tiến Việt;available;202000;10100;191900;5;0.0;0;;sach_giaokhoa;
186187331;Hỏi - Đáp Môn Tư Tưởng Hồ Chí Minh (Dùng cho bậc đại học hệ chuyên và không chuyên lý luận chính trị) (Tài liệu theo bộ giáo trình mới nhất của Bộ Giáo dục và Đào Tạo);;available;94000;0;94000;0;0.0;0;;sach_giaokhoa;Bìa mềm
193555791;VBT Mĩ Thuật 1 (Kết Nối) (2022);nhieu tac gia;available;10000;0;10000;0;0.0;0;;sach_giaokhoa;
193555652;Mĩ Thuật 6 (Cánh Diều) (2022);nhieu tac gia;available;12000;0;12000;0;0.0;0;;sach_giaokhoa;
189849375;Giáo Trình Công Nghệ Lên Men;;available;60000;0;60000;0;0.0;0;;sach_giaokhoa;
